YouTube,Notes,Length,ID,Author_English,Title_English,Author_Marathi,Title_Marathi,Acts,Genre,First Performance Year,Submitted By,Males,Females,Pages,Property,Year of Writing,Availability,Certified By,Length (in minutes),Select,Performance Dates,Date,
,,0,184,Surendra Verma,Manoj Mitra,सुरेंद वर्मा,मनोज मित्र,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
None,,0,35,Rahul Phatak,Majhi Lungi Kharedi (Punyatla Dukanatun),राहूल फाटक,माझी लुंगी खरेदी (पुण्यातल्या दुकानातून),1,,2024,Sanjay Apte,0,0,0,,0,,,0,0,,,
"https://www.youtube.com/watch?v=HgRSM264BU4,  
https://www.youtube.com/watch?v=Hbgb23q9-uM",,0,83,D M Mirasdar ,Mazya Bapachi Pend ,द मा मिरासदार ,माझ्या बापाची पेंड,1,,2024,Shashank Divekar ,0,0,0,,0,,,0,0,,,
None,,0,18,VIdyadhar Pundalik,Mataa Draupadi,विद्याधर पुंडलिक,माता द्रौपदी ,2,,2024,Anand Ghanekar,0,0,0,,0,,,0,0,,,
none,,0,42,Rajeev Naik,Matichya Gadyache Prakaran,राजीव नाईक,मातीच्या गाड्याचे प्रकरण,2,,2024,Anand Ghanekar,0,0,0,,0,,,0,0,,,
https://www.youtube.com/watch?v=FgdrWmnKKTk,,00:30.00,75,Vijay Tendulkar ,Madi,विजय तेंडुलकर,मादी,1,,2024,Mukund Marathe,1,1,0,,0,,,28.44,0,,,#VALUE!
https://www.youtube.com/watch?v=_6fggPs3FSM,,0,97,Shankar Patil,Meeting,शंकर पाटील,मिटींग,1,,2024,Manoj Wadekar,0,0,0,,0,,,0,0,,,
None,धडपड ग्रुप पुणे ,0,102,AShwini Shingre-Deshpande,Mi Tu,अश्विनी शिंगरे-देशपांडे,मी तू,2,,2024,Anand Ghanek,0,0,0,,0,,,0,0,,,
none,,0,60,Manasi Holehunnur,Mich Ti Devyani,मानसी होलेहुन्नूर,मीच ती देवयानी,1,,2024,Avadhoot Bhambare,0,0,0,,0,,,0,0,,,
,,0,182,Surendra Verma,Mujhe Chaand Chahiye,सुरेंद वर्मा,मुझे चांद चाहिये,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
None,,0,145,Shafaat Khan,Mumbai Che Kavle,शफाअत खान,मुंबईचे कावळे,0,,2024,Vijay Kenkare,0,0,0,,0,,,0,0,,,
https://youtu.be/5kxDSubKECU?si=N66a9rM2FVBIwbJG,,54,111,Jyoti Mhapsekar,Mulgi Zali Ho,ज्योती म्हापसेकर,मुलगी झाली हो,1,,2024,Hemangi Wadekar,0,0,0,,0,,,0,0,,,
